Wall time,Step,Value
1761493005.5549457,10,2.3965001106262207
1761493022.2755282,20,2.3085999488830566
1761493038.1713681,30,2.121000051498413
1761493053.6663113,40,1.8702000379562378
1761493069.946605,50,1.6886999607086182
1761493085.9914227,60,1.4155000448226929
1761493102.1157985,70,1.1777000427246094
1761493118.0524726,80,1.0758999586105347
1761493145.2582476,90,1.0146000385284424
1761493160.8745627,100,0.9603999853134155
1761493177.1313846,110,0.9603000283241272
1761493193.4759903,120,0.944100022315979
1761493209.660103,130,0.9516000151634216
1761493225.4230733,140,0.9376000165939331
1761493241.8746555,150,0.917900025844574
1761493257.660698,160,0.8899999856948853
1761493284.5693595,170,0.887499988079071
1761493300.4644585,180,0.8691999912261963
1761493316.8606653,190,0.9018999934196472
1761493332.7851825,200,0.8928999900817871
1761493348.4974542,210,0.8737999796867371
1761493365.247139,220,0.8817999958992004
1761493381.0008602,230,0.8686000108718872
1761493398.0539818,240,0.8695999979972839
1761493424.9057992,250,0.88919997215271
1761493441.812029,260,0.8580999970436096
1761493457.3959177,270,0.8360000252723694
1761493473.0001206,280,0.8267999887466431
1761493489.436831,290,0.8213000297546387
1761493505.1697862,300,0.836899995803833
1761493520.913713,310,0.8220000267028809
1761493537.1777356,320,0.842199981212616
1761493563.8608112,330,0.8396999835968018
1761493579.8175514,340,0.8184999823570251
1761493595.0733202,350,0.8008999824523926
1761493611.7009401,360,0.8198000192642212
1761493627.4115665,370,0.7997999787330627
1761493644.133773,380,0.8360999822616577
1761493661.4644246,390,0.8327999711036682
1761493677.271039,400,0.8033000230789185
1761493703.6538146,410,0.7961000204086304
1761493719.186273,420,0.7860999703407288
1761493735.3830976,430,0.7778000235557556
1761493751.6118853,440,0.8077999949455261
1761493768.121184,450,0.8123999834060669
1761493784.875113,460,0.816100001335144
1761493800.6545637,470,0.7985000014305115
1761493816.5618632,480,0.7621999979019165
1761493843.1349525,490,0.786300003528595
1761493860.2884483,500,0.7827000021934509
1761493875.986934,510,0.7664999961853027
1761493891.8948357,520,0.7910000085830688
1761493907.4104114,530,0.7519000172615051
1761493923.513817,540,0.7771000266075134
1761493939.6936061,550,0.7781000137329102
1761493956.156203,560,0.7730000019073486
1761493983.3408606,570,0.7835999727249146
1761493999.8523507,580,0.7741000056266785
1761494015.4833372,590,0.7573000192642212
1761494031.5429733,600,0.7387999892234802
1761494048.0348628,610,0.7594000101089478
1761494063.8402627,620,0.7591999769210815
1761494080.1613688,630,0.7724999785423279
1761494096.4307706,640,0.7565000057220459
1761494123.1505413,650,0.7670000195503235
1761494139.0672889,660,0.7753999829292297
1761494154.6448562,670,0.7379000186920166
1761494170.6636002,680,0.7408999800682068
1761494187.2051275,690,0.7687000036239624
1761494203.922623,700,0.7807999849319458
1761494219.6375601,710,0.7484999895095825
1761494236.1718707,720,0.7560999989509583
1761494262.816279,730,0.7457000017166138
1761494278.8520234,740,0.7585999965667725
1761494294.8673677,750,0.7728000283241272
1761494311.4501114,760,0.7565000057220459
1761494327.294808,770,0.7300999760627747
1761494343.5051832,780,0.7620000243186951
1761494359.6286492,790,0.7458999752998352
1761494375.928932,800,0.7573000192642212
1761494391.8817494,810,0.7541000247001648
