Wall time,Step,Value
1761491233.500266,10,1.1214648485183716
1761491250.4395206,20,1.2001291513442993
1761491266.9431908,30,1.3765921592712402
1761491283.238762,40,1.6058545112609863
1761491300.2321641,50,1.5208861827850342
1761491316.8039565,60,1.2613886594772339
1761491333.245418,70,1.0848509073257446
1761491349.8915453,80,0.9420377612113953
1761491377.6326342,90,0.861859142780304
1761491393.9755523,100,0.8278347849845886
1761491410.6407127,110,0.8335069417953491
1761491427.2985034,120,0.8166524171829224
1761491443.9475245,130,0.8316989541053772
1761491460.503986,140,0.8136162757873535
1761491477.4162629,150,0.7947220206260681
1761491493.8319287,160,0.7803220748901367
1761491521.0621133,170,0.7613505125045776
1761491537.5560877,180,0.7698349952697754
1761491554.4159439,190,0.7849291563034058
1761491570.9198742,200,0.7843217253684998
1761491587.1996293,210,0.7636821269989014
1761491604.1576602,220,0.780195415019989
1761491620.6427836,230,0.7722207903862
1761491638.0034482,240,0.765842080116272
1761491665.360463,250,0.8000031113624573
1761491682.4121487,260,0.7694018483161926
1761491698.923263,270,0.7313436269760132
1761491715.2643218,280,0.7169725298881531
1761491732.053446,290,0.7349480986595154
1761491748.36446,300,0.7255304455757141
1761491764.7442293,310,0.7400548458099365
1761491781.5195875,320,0.7469181418418884
1761491808.5427809,330,0.7581321001052856
1761491825.1476674,340,0.7412626147270203
1761491841.3397164,350,0.6961051821708679
1761491858.289257,360,0.7400527596473694
1761491874.7299294,370,0.7158029079437256
1761491891.7220268,380,0.7339836955070496
1761491908.9925883,390,0.760554850101471
1761491925.5003786,400,0.7164076566696167
1761491952.5039139,410,0.7096725106239319
1761491968.9254465,420,0.7072778344154358
1761491985.803826,430,0.6913555860519409
1761492002.5773056,440,0.7210260629653931
1761492019.3987763,450,0.736921489238739
1761492036.276435,460,0.7335430979728699
1761492052.6760812,470,0.7082329392433167
1761492069.2523484,480,0.6863617897033691
1761492096.3512938,490,0.7039984464645386
1761492113.7914622,500,0.7216535806655884
1761492130.0896473,510,0.6796247363090515
1761492146.6338267,520,0.7084106802940369
1761492163.0439394,530,0.6711968779563904
1761492179.7352867,540,0.6857417821884155
1761492196.4841838,550,0.6824411153793335
1761492213.4160435,560,0.6904088258743286
1761492241.0226455,570,0.6977946758270264
1761492257.7062461,580,0.6922719478607178
1761492273.9908795,590,0.6647322773933411
1761492290.7354348,600,0.658141553401947
1761492307.6176493,610,0.6774134039878845
1761492324.271206,620,0.6674929261207581
1761492340.963523,630,0.6891812682151794
1761492357.7761953,640,0.6778563261032104
1761492384.9762444,650,0.7008139491081238
1761492401.802231,660,0.6915642619132996
1761492418.1270792,670,0.6588811278343201
1761492434.621322,680,0.668669581413269
1761492451.505912,690,0.6822774410247803
1761492468.5354896,700,0.7091565728187561
1761492485.0071247,710,0.6672852039337158
1761492501.843037,720,0.6691890954971313
1761492529.0896935,730,0.6704223155975342
1761492545.689493,740,0.6567465662956238
1761492562.271747,750,0.6876971125602722
1761492579.1110709,760,0.6807234287261963
1761492595.6566901,770,0.6534758806228638
1761492612.480071,780,0.6852935552597046
1761492629.2915833,790,0.6718889474868774
1761492646.0152,800,0.6861132383346558
1761492662.372626,810,0.6785008311271667
