Wall time,Step,Value
1761491233.5001643,10,2.130500078201294
1761491250.439437,20,2.0669000148773193
1761491266.9430857,30,1.8905999660491943
1761491283.238668,40,1.6633000373840332
1761491300.2320864,50,1.478700041770935
1761491316.8038616,60,1.2512999773025513
1761491333.245352,70,1.0455000400543213
1761491349.8914506,80,0.9358999729156494
1761491377.6325552,90,0.8729000091552734
1761491393.9754665,100,0.8267999887466431
1761491410.6406538,110,0.8371000289916992
1761491427.2984245,120,0.8220999836921692
1761491443.947434,130,0.8410000205039978
1761491460.503926,140,0.8125
1761491477.4161916,150,0.7967000007629395
1761491493.8318486,160,0.7847999930381775
1761491521.0620546,170,0.7718999981880188
1761491537.5560162,180,0.7585999965667725
1761491554.4158804,190,0.7825999855995178
1761491570.9198005,200,0.7864999771118164
1761491587.1995661,210,0.7652000188827515
1761491604.157605,220,0.7842000126838684
1761491620.642712,230,0.7608000040054321
1761491638.003386,240,0.7677000164985657
1761491665.3603966,250,0.7910000085830688
1761491682.4120927,260,0.7578999996185303
1761491698.9232075,270,0.7254999876022339
1761491715.2642446,280,0.7178000211715698
1761491732.0533848,290,0.7195000052452087
1761491748.364374,300,0.7311999797821045
1761491764.7441633,310,0.7207000255584717
1761491781.5195236,320,0.745199978351593
1761491808.5427182,330,0.7484999895095825
1761491825.1475964,340,0.7228000164031982
1761491841.339656,350,0.6888999938964844
1761491858.2891746,360,0.725600004196167
1761491874.7298682,370,0.7008000016212463
1761491891.7219617,380,0.7371000051498413
1761491908.9925287,390,0.7493000030517578
1761491925.50032,400,0.697700023651123
1761491952.5038457,410,0.6991000175476074
1761491968.9253666,420,0.6833000183105469
1761491985.8037589,430,0.6751000285148621
1761492002.5772464,440,0.7098000049591064
1761492019.3987174,450,0.7267000079154968
1761492036.2763646,460,0.7271000146865845
1761492052.676019,470,0.6973999738693237
1761492069.2522688,480,0.6647999882698059
1761492096.3512285,490,0.6930000185966492
1761492113.7914033,500,0.7045999765396118
1761492130.0895839,510,0.6723999977111816
1761492146.633753,520,0.705299973487854
1761492163.0438783,530,0.6572999954223633
1761492179.7352192,540,0.6814000010490417
1761492196.4841175,550,0.6797999739646912
1761492213.4159884,560,0.6837000250816345
1761492241.022588,570,0.6886000037193298
1761492257.7061863,580,0.6825000047683716
1761492273.9908097,590,0.6629999876022339
1761492290.735372,600,0.6485999822616577
1761492307.6175706,610,0.6711000204086304
1761492324.2711382,620,0.6633999943733215
1761492340.9634678,630,0.6854000091552734
1761492357.7761354,640,0.6694999933242798
1761492384.9761758,650,0.6843000054359436
1761492401.8021705,660,0.6829000115394592
1761492418.12701,670,0.6470000147819519
1761492434.6212564,680,0.6539000272750854
1761492451.5058491,690,0.6815999746322632
1761492468.5354307,700,0.6991000175476074
1761492485.0070536,710,0.65420001745224
1761492501.8429768,720,0.6668000221252441
1761492529.0896327,730,0.6588000059127808
1761492545.689425,740,0.6607000231742859
1761492562.271688,750,0.6793000102043152
1761492579.1110084,760,0.6697999835014343
1761492595.6566172,770,0.6394000053405762
1761492612.480007,780,0.6761000156402588
1761492629.2914987,790,0.6607000231742859
1761492646.0147042,800,0.6736000180244446
1761492662.3725696,810,0.6680999994277954
